High card. [4S, 8C, 9H, TS, KC] < High card. [2S, 3S, 5D, 7D, AC]
One pair. [6C, 6H, 7H, 8C, AD] > High card. [3D, 5D, TH, KH, AS]

One pair. [3S, 8C, 8S, TS, KS] > One pair. [4D, 4H, 5S, 6C, 9S]

One pair. [4S, 4H, 5C, 7D, 9H] > One pair. [2D, 2H, 9D, JH, KC]

One pair. [5C, 9D, 9H, TC, JS] > High card. [5H, 6S, 7S, JC, KH]

High card. [4D, 7C, 8H, 9H, JC] < One pair. [2H, TD, TC, JD, KH]

One pair. [2H, 2C, 6C, 8H, KH] < One pair. [5H, 6H, 9D, QS, QH]

High card. [2S, 3D, 7D, QD, AC] < Three of a kind. [2D, 8D, JC, JD, JH]

Three of a kind. [2H, 2D, 2C, 7H, JC] > High card. [3C, 4H, 8D, TD, KD]

High card. [3S, 4H, 6D, 8D, TS] < Two pair. [3H, 3D, 6H, TD, TH]

One pair. [3S, JH, JC, QH, AC] > High card. [2C, 7H, 8S, 9H, QC]

High card. [4S, 7H, 8S, TD, QS] < One pair. [2S, 2H, 4D, 5D, 9C]

One pair. [2S, 3D, 3H, TS, QC] < One pair. [6H, 8H, JC, KC, KS]

High card. [5D, 7D, 8C, TC, JD] < High card. [3D, 6C, 8D, 9S, AC]

One pair. [5D, 6H, 6C, 8H, JH] < One pair. [2C, 4H, 8D, 8S, AD]

One pair. [2D, 2C, 3S, 4H, 9D] < One pair. [3C, 5D, TS, TC, AS]

High card. [4D, 5H, TH, QS, KS] < High card. [2H, 3D, 4S, 6C, AD]

One pair. [2C, 5C, 5S, 6H, KC] < One pair. [2D, 3C, 4D, 9H, 9S]

High card. [3H, 4C, TH, JD, QH] < One pair. [5S, 8S, 9H, AH, AC]

High card. [2H, 6S, 7D, 9S, TD] < One pair. [4H, 4C, 8H, 9C, QS]

High card. [3C, 4H, 5D, 6H, 8C] < One pair. [6S, 9C, QD, QS, KC]

High card. [2D, 3S, 9H, TC, KD] < One pair. [4H, 4S, 6S, 8C, JS]

High card. [2S, 4C, 6H, 8S, QS] < High card. [3H, 5D, 8C, TH, KH]

High card. [2C, 3S, 5S, 7S, KH] > High card. [6C, 7H, 8D, 9D, QD]

One pair. [2D, 8H, KS, KH, AC] > High card. [6C, 7H, TS, JS, KC]

High card. [5C, 9C, TD, QC, KS] < High card. [5H, 6C, 7C, 9S, AH]

One pair. [3H, 4D, 4H, 5D, 6S] < One pair. [7C, 7S, TD, QD, AH]

High card. [2H, 6S, 7D, TC, QC] < High card. [3H, 7S, 9D, TS, AH]

High card. [5H, 9S, TH, QD, KS] < One pair. [6H, 7S, 7C, 8C, TD]

High card. [2D, 4D, 5C, TH, QC] < High card. [4H, 7D, 9C, JD, AH]

High card. [3H, 4H, 6H, 8D, AH] < Two pair. [2H, 2C, 9H, QC, QH]

High card. [2D, 4C, 6H, TS, AD] < One pair. [4H, 7S, TH, TD, QS]

One pair. [2H, 3C, 3H, QS, KD] > High card. [5D, 8H, TC, JD, QC]

High card. [9S, TH, JC, QD, KS] < One pair. [2D, 8D, 8C, 9C, KD]

High card. [3C, 4D, 6D, QD, KD] < Two pair. [8D, 8S, QC, AH, AD]

One pair. [2S, 3S, 3H, 8H, 9D] < One pair. [4C, 6H, 7C, KS, KC]

High card. [3D, 5C, 7D, 9S, TH] < High card. [2C, 4D, 6H, 7S, AC]

High card. [2D, 3D, 4D, 5C, JD] < High card. [4C, 5H, 6D, 9H, KH]

High card. [2H, 6C, 7H, TD, AS] < One pair. [3D, 4C, 4S, QD, KS]

One pair. [3C, 7C, JC, JD, AC] > High card. [5D, 8H, 9S, JS, QC]

High card. [2H, 5S, 6S, JD, AS] > High card. [3D, 5H, 7D, 8C, JH]

One pair. [5S, 8D, 8S, 9S, TC] > High card. [3H, 5H, 7S, JC, AS]

High card. [3D, 4H, 5C, 7D, TD] < High card. [4D, 5D, 7H, 8D, JS]

High card. [2S, 9C, TD, QS, KS] < High card. [2H, 4H, 5C, 8S, AS]

One pair. [3H, 4H, 7S, 7D, TH] < One pair. [2S, 5D, JD, KD, KC]

One pair. [4S, 4C, 7H, 8H, JD] > High card. [4H, 5S, 6H, JS, QH]

High card. [2C, 3H, 5S, 8C, QS] < One pair. [2S, 6C, QC, QD, AD]

High card. [3D, 4H, 8C, TC, JD] < Two pair. [2H, 2S, 5S, AD, AC]

One pair. [2C, 2D, 5D, JS, AD] < One pair. [3D, 4C, 4S, 9D, JH]

One pair. [5H, 5D, 6H, 7S, 8D] > High card. [4D, 9D, TD, JD, KS]

High card. [2S, 3D, 6D, 9C, AS] < One pair. [5S, 5C, 7D, 8H, JD]

High card. [3S, 5H, 6S, 7C, 8S] < One pair. [7H, 7S, TC, JD, AD]

High card. [2S, 4D, 9D, TS, AC] > High card. [3H, 6C, 8D, JD, QD]

High card. [2C, 3C, 9S, KH, AC] < One pair. [3D, 5H, 5D, 6H, 8D]

High card. [2D, 3D, 6S, KS, AS] < One pair. [2S, 4C, 7C, 7H, KH]

High card. [2H, 3S, 5C, JC, AC] > High card. [2D, 4D, 5H, 7S, QH]

High card. [6H, 8C, TS, JD, AS] < One pair. [2C, 5S, 5D, 8S, JC]

Two pair. [6C, 7S, 7H, QH, QC] > One pair. [2D, 2S, 7C, 8H, JD]

Three of a kind. [2C, 2S, 2H, JC, QD] > One pair. [2D, 5D, 9C, JD, JH]

One pair. [5C, 7C, 7D, 8S, 9C] > One pair. [6D, 6C, 8D, 9S, JH]

High card. [2C, 3S, 5H, 6S, AD] < One pair. [4C, 7S, 9D, KS, KH]

High card. [2C, 5C, 6C, 7H, TH] < High card. [3S, 8D, 9D, QC, AH]

One pair. [5S, 5H, 6H, TC, KC] > High card. [3C, 6D, 8S, TH, AH]

High card. [4H, 9C, TD, KD, AD] > High card. [4S, 5D, 6H, 7D, 9S]

One pair. [5C, 5H, 6D, 7H, AS] < Two pair. [4C, 4H, 9D, KD, KH]

High card. [2S, 3C, 5C, 6C, JD] < High card. [2H, 3H, 7D, 9D, QS]

High card. [2S, 6S, 7S, JS, AC] < One pair. [5C, 6H, QD, QS, AD]

One pair. [5H, 7H, TH, TC, QC] > One pair. [3S, 3D, 6D, 7C, KC]

High card. [3D, 4H, 8H, 9S, QC] < High card. [2C, 3S, 5C, JC, KS]

One pair. [2C, 4S, 6S, 6H, 8S] < Three of a kind. [3S, 3D, 3H, 9H, JS]

Two pair. [2D, 4S, 4D, 8C, 8H] > One pair. [7D, 9H, 9D, TS, AH]

One pair. [2C, 4C, 8D, 9S, 9H] > High card. [3D, 5S, 6D, 7D, AS]

High card. [3H, 4C, 6S, 7H, 8C] < One pair. [5H, 9D, 9C, JC, AH]

High card. [2S, 5S, 7C, 8C, JD] < One pair. [3S, 3D, 4D, 6S, 7D]

High card. [3C, 4S, 5D, 7D, KC] < One pair. [3D, 3H, 4H, 7H, JD]

Two pair. [4H, 4D, 9C, 9H, TH] > High card. [6D, 7S, 8S, 9S, QD]

One pair. [2H, 4S, 8S, AC, AD] > High card. [2C, 7D, 8C, TC, AH]

High card. [3C, 9H, TS, KS, AD] < One pair. [3D, 8C, 8H, TC, JD]

High card. [2C, 3C, 7D, 8D, QC] < One pair. [6C, 7C, 9H, 9C, JD]

One pair. [5D, 6S, JS, JH, AH] > High card. [2C, TD, JD, QC, AS]

One pair. [2H, 2D, 5D, 9H, KD] < One pair. [3S, 7D, TC, TS, AH]

One pair. [5D, 8H, TD, AS, AH] > High card. [5H, 6S, TC, QC, AC]

One pair. [4S, 4D, 7H, 8D, KS] > High card. [2H, 3H, 6H, 9C, TC]

One pair. [3H, 4S, QD, QH, KD] > One pair. [3D, 7S, 8H, 8C, TD]

One pair. [8S, TC, JD, JS, AH] < One pair. [2D, 4D, QS, KH, KS]

One pair. [3C, JC, JS, KD, AD] > High card. [2C, 4S, 9H, TH, KH]

High card. [5S, 9S, JS, QC, KS] < High card. [2S, 7C, JD, QD, AS]

High card. [2D, 3S, 5S, QS, KC] < High card. [5D, 8H, 9H, KS, AC]

High card. [2C, 6H, 9C, TC, AD] < One pair. [5S, 6D, 6C, 7C, JD]

One pair. [2C, TD, QS, QD, KH] > High card. [2S, 3H, 8S, QC, AH]

One pair. [9D, 9H, TC, JH, QH] > High card. [2S, 3C, 5C, 7H, JS]

One pair. [2S, 3S, 3D, 4S, 6C] > One pair. [2D, 2C, 5D, TH, QD]

Two pair. [2D, 2S, 6H, 6D, JC] > High card. [4H, 7H, QH, KH, AS]

High card. [5H, 6S, TC, KS, AD] < One pair. [4S, 4H, 7C, TS, AC]

High card. [3C, 4H, 8C, QS, AD] < One pair. [2H, 2D, 4D, 9D, KS]

Two pair. [4S, 6C, 6D, 9D, 9C] > High card. [3H, 7H, 8D, KD, AC]

One pair. [6C, TS, JC, JD, AH] > High card. [3S, 5D, 6D, QD, AD]

Three of a kind. [3S, 7S, JC, JH, JD] > High card. [3H, 4S, 8S, JS, QC]

High card. [2C, 5C, TH, JD, AD] < One pair. [2H, 7H, 7S, 9S, JS]

High card. [3S, 4D, 8D, JH, QC] < High card. [2C, 6H, JD, KC, AS]

One pair. [2C, 5H, 5S, KD, AC] > High card. [2D, 7H, JH, QD, AH]

One pair. [8D, 8S, TC, JC, QH] > One pair. [5H, 5C, 6C, 8C, AH]

One pair. [3H, 8S, JS, JH, QD] > One pair. [3C, 3S, 4H, 5C, 6D]

One pair. [4S, 4C, 5H, 6D, AH] > High card. [3H, 5S, 7C, 8D, JD]

High card. [2H, 3H, 8H, JS, AH] > High card. [3C, 4H, 7D, QC, KD]

High card. [2H, 5H, 6S, 8H, KD] > High card. [2D, 3C, 7S, 8S, QD]

High card. [2S, 7S, QC, KC, AH] > High card. [4C, 6D, 8D, TC, QS]

High card. [2C, 3S, 5S, 9H, QD] < One pair. [2H, 6C, 7S, 7C, 9D]

One pair. [3C, 5C, 5S, 6C, JD] > High card. [3S, 5D, TS, JC, KS]

High card. [2S, 5S, 6S, 7C, KS] < One pair. [2D, 2H, 5H, TC, QS]

High card. [5H, 6S, 7H, TS, AS] < One pair. [2H, 3C, 9S, 9D, KD]

One pair. [3S, 4S, 4H, JS, QS] > High card. [2S, 6S, 7C, 9D, AC]

High card. [2H, 5H, 7C, 8C, JH] < Three of a kind. [5D, QH, QS, QC, KH]

One pair. [3S, 3H, 7C, TD, KC] < Three of a kind. [5H, 8D, 8S, 8C, KH]

High card. [3C, 4H, TS, JD, KH] < High card. [5S, 7H, JS, QC, AS]

High card. [2C, 4D, 8D, 9D, AH] < Three of a kind. [2D, 6H, 6C, 6S, KC]

High card. [2S, 3S, 6H, 7H, 9D] < One pair. [3D, 4D, 8H, KH, KD]

High card. [9C, TC, JH, KH, AC] > High card. [3S, 4D, 5H, TD, JD]

One pair. [4H, 4C, 7S, 9D, AS] > High card. [2S, 7D, 9S, QS, KH]

Three of a kind. [3S, 8D, 8S, 8C, KS] > One pair. [2H, 5C, 5D, JC, KH]

High card. [2C, 4D, 8S, QH, KC] < High card. [6H, 9D, JS, QC, AC]

Two pair. [7C, 8S, 8C, JS, JD] > One pair. [4C, 4S, 6S, 9C, AC]

High card. [2C, 5D, 7D, JC, QH] < One pair. [2D, 4C, 8S, JS, JH]

One pair. [4C, 7S, TS, JS, JH] < One pair. [4S, 5H, QD, KC, KH]

One pair. [2D, 6S, 8C, 8D, QD] > High card. [5S, 9D, TD, QH, AC]

Two pair. [3D, 3C, JS, QH, QC] > High card. [4H, 5C, 7H, 8S, KH]

High card. [2C, 5S, 7C, 8S, JC] < High card. [2H, 3H, 5D, QC, KC]

High card. [4H, 5S, 6H, 8D, KD] < One pair. [3D, 6D, QD, QH, AH]

High card. [2S, 4D, 6C, 7S, KS] < High card. [5H, TS, JD, QS, AC]

High card. [2D, 5D, 7C, TC, QS] < High card. [6C, JS, QC, KC, AC]

High card. [2C, 3H, 4D, TS, KS] < High card. [4H, 7S, 8S, 9S, AD]

One pair. [4H, 5H, 9H, QD, QH] > High card. [3S, 4D, JC, KH, AD]

High card. [4D, 6D, 8D, KC, AC] < One pair. [2D, 2C, 4C, JD, KH]

One pair. [2C, 2D, 3H, 9H, AH] > High card. [6D, 7D, 9C, TC, KS]

High card. [3H, 5C, 7C, 8C, KD] < One pair. [2S, 4S, 5H, AS, AH]

High card. [3H, 4H, TH, JD, KD] < High card. [3S, 5C, TC, KH, AC]

One pair. [6D, 7H, 7S, QC, AH] > High card. [2D, 6H, TD, JD, AS]

High card. [5D, 7H, 9S, TC, JH] < High card. [5S, 7D, JC, KH, AS]

High card. [2H, 6H, 8C, TH, AD] < One pair. [6S, 6C, 9H, QD, KD]

High card. [3S, 4D, 9D, QH, KC] < One pair. [2C, 4H, 9H, JS, JH]

High card. [4H, 7H, TC, JC, KH] < One pair. [3H, 7D, 7S, 9S, QS]

One pair. [6C, 7D, 7H, JH, AD] < Two pair. [3S, 3H, 4H, 4D, QH]

High card. [2H, 5C, 6C, JD, AS] > High card. [3C, 4D, TC, JH, QC]

High card. [3H, 4C, 6H, JD, AC] < One pair. [7D, 7H, 9H, JC, AD]

One pair. [2C, 4H, 8C, TC, TS] > High card. [2H, 6S, 9S, JD, KS]

One pair. [3H, 4C, 9S, QS, QC] < Three of a kind. [6D, 9H, 9D, 9C, KC]

High card. [2C, 5C, 8C, QH, AD] < One pair. [8D, 8H, TH, JC, QD]

Two pair. [2C, 2S, 9C, QC, QD] > High card. [3S, 4D, 8D, JH, QS]

One pair. [2C, 3S, 7S, 7C, 9D] < One pair. [3C, 9H, TD, TC, JC]

High card. [3C, 4C, 5C, 8H, TS] > High card. [2C, 4H, 6S, 7C, 8D]

High card. [2H, 4H, 7H, TC, KS] < One pair. [2C, 3S, QS, AS, AH]

Three of a kind. [2D, 2H, 2C, 4S, 8C] > High card. [3S, 4C, 5S, 6S, 7D]

One pair. [3C, 5D, TH, TD, QC] < Three of a kind. [QS, KD, KC, KS, AS]

One pair. [4D, 9H, KD, KS, AH] > High card. [4C, 5C, 6H, 7S, JC]

High card. [4H, 5C, TC, QS, KC] < High card. [2H, 9S, JC, QH, AH]

One pair. [3H, 3C, 4S, 5H, 9H] < One pair. [2H, 8H, JH, QD, QC]

High card. [2C, 3D, 5D, 7H, AS] < One pair. [4C, 6H, 6S, 7D, JH]

Two pair. [9C, 9H, JD, JS, AH] > One pair. [3H, 8S, 8H, QH, KS]

High card. [3S, 4D, TS, QC, AC] < One pair. [3D, 8S, 9H, AD, AH]

One pair. [3H, 7H, 9C, 9S, QS] < Two pair. [5H, JH, JS, AH, AC]

High card. [2H, 3C, 8D, JD, AC] > High card. [4D, 5S, 7H, 8H, 9C]

One pair. [6C, 7C, 9H, JH, JS] > One pair. [4H, 7H, 8C, 9S, 9D]

High card. [2D, 4D, 6H, 9S, AS] < One pair. [9H, JS, JH, QD, AD]

High card. [6H, 7S, JH, KH, AH] > High card. [2C, 5S, 6S, 7H, TD]

One pair. [5H, 5S, 6S, 8H, JH] < One pair. [4C, 9D, 9S, TC, QC]

High card. [2C, 3H, 5H, 7D, KD] < High card. [4D, 7H, JS, QD, AS]

One pair. [6C, 8H, TS, TH, QH] < Two pair. [3C, 3H, 5H, 9C, 9D]

High card. [3H, 5D, JS, KH, AD] < One pair. [5C, 9S, KC, AS, AC]

High card. [2C, 8C, JC, QS, KH] < High card. [2D, 6D, TC, KC, AH]

High card. [2S, 3H, 4D, 7C, 9D] < One pair. [6D, 7D, 8D, KH, KS]

High card. [2S, 9H, TC, JH, AC] < One pair. [3H, 3S, 5S, 8H, QC]

High card. [3S, 4C, 8H, KD, AS] > High card. [3H, 7C, TS, JH, QH]

One pair. [6D, 7S, 7H, 9D, JH] > One pair. [3D, 3S, 4C, 6C, AS]

Two pair. [2H, 2C, 4S, 4C, 8S] > One pair. [5H, 8C, QC, QD, KC]

Two pair. [3H, 3S, 6C, QS, QC] > One pair. [2D, 2C, 5D, 6S, 9D]

One pair. [2H, 2S, 3H, 8D, JH] > High card. [2D, 5C, 6C, 7S, AD]

High card. [5D, 8S, 9H, JS, QH] < High card. [2H, 6S, 7S, TS, AD]

High card. [5H, 6D, 7H, 9S, QC] < High card. [4H, 5C, 7D, JD, KC]

One pair. [4D, 5S, 9H, 9C, QC] > High card. [2S, 4C, 6S, 7C, KS]

High card. [3S, 4H, 7C, 8D, 9H] < High card. [5C, 6H, 7S, 8H, JS]

High card. [2D, 4H, 6H, TD, JS] < High card. [4D, 5H, TH, JC, KC]

High card. [3H, 7C, 8D, TH, AC] < One pair. [2D, 4C, 4D, 9S, KC]

High card. [3D, 7S, 9C, QS, KD] < One pair. [4C, 4H, TS, KS, AD]

High card. [2S, 7D, 8H, 9C, QH] < One pair. [4C, 5D, 7H, KS, KD]

One pair. [2S, 2H, 6S, 9C, JC] > High card. [5C, 6C, TC, JH, QC]

One pair. [7S, 8H, 8S, KC, AC] > One pair. [3D, 6H, 6S, JC, QS]

One pair. [2D, 4S, 8C, JS, JH] > One pair. [5D, 6H, 6D, 8H, AD]

High card. [2S, 4H, 6H, 7D, 9H] < One pair. [5S, 7C, 8H, AS, AC]

High card. [3C, 4S, 5H, 6D, JS] < One pair. [2S, 2C, 6S, 9C, QH]

High card. [3D, 4C, 5S, 6S, 9S] < Two pair. [8D, 8S, TC, QS, QD]

One pair. [3D, 5S, 9C, 9H, AH] > High card. [2C, 3S, 7D, JC, AD]

High card. [3C, 6S, 7H, TC, AS] < One pair. [6D, 7S, 9H, KH, KC]

High card. [3S, 5H, 6S, 8H, TC] < High card. [2S, 7D, 8C, JH, AC]

One pair. [3S, 9D, 9C, JC, QD] > One pair. [4D, 5D, 8C, 8H, KS]

One pair. [6D, 9D, JS, JD, AH] < Two pair. [3H, 8C, 8H, 9H, 9S]

One pair. [2D, 4C, 4D, 6S, 8S] < One pair. [4S, 9H, TC, AD, AH]

One pair. [TS, TH, QC, KC, AC] > High card. [2H, 4H, 6D, 7S, 8C]

High card. [3C, 5S, 9D, JS, QD] < High card. [2H, 9H, TS, JC, AH]

High card. [3H, 4D, 5D, 9C, QH] > High card. [3S, 4S, 5H, 7D, JC]

High card. [2H, 3H, 7C, 8S, TH] < One pair. [8D, TS, JD, JS, AC]

High card. [2H, 9C, TD, JD, KC] < One pair. [2S, 2C, 5S, 8C, AD]

High card. [3D, 4D, 5H, 7C, KD] < One pair. [6H, 7D, TC, QH, QD]

One pair. [2C, 5S, 7H, KC, KD] > One pair. [6H, 7S, QC, QH, AH]

One pair. [2C, 5C, 5H, 6H, AC] > One pair. [2D, 2S, 7C, 9C, TD]

High card. [3D, 4D, 7C, 9D, AH] < One pair. [4H, 4C, 8C, JD, KS]

High card. [3C, 8H, TH, JS, QH] < One pair. [3D, 4C, QS, QC, AS]

High card. [4D, 5H, 6D, 7S, JH] < High card. [3C, 6H, 7D, JS, KH]

One pair. [2H, 2C, 7D, 8S, QD] > High card. [2S, 5H, 7C, 8C, JC]

High card. [2H, 8S, 9D, TC, QH] < High card. [6S, 7C, 8D, QD, AD]

High card. [2H, 3S, 7C, 9H, AD] > High card. [2D, 4C, 9S, TS, JD]

High card. [2C, 3S, 4H, QC, AS] < Two pair. [7S, 8H, 8S, TD, TC]

One pair. [3S, 4D, TH, TD, JH] > One pair. [2C, 4H, 5S, 5D, QS]

One pair. [6D, 8C, TC, QD, QH] < Two pair. [4S, 4H, 9S, 9D, QC]

One pair. [6H, 8C, 9D, JS, JD] > High card. [3H, 6S, TD, QC, AD]

High card. [3D, 7C, 8S, TD, KC] > High card. [3S, 4S, 7D, 8D, 9H]

High card. [3D, 4S, 6C, 9D, KD] < One pair. [5S, TC, KC, KS, AC]

High card. [3D, 6S, 7C, JS, QH] < One pair. [2D, 6H, 6D, 8C, KD]

High card. [2S, 4H, 5S, 8S, JD] < High card. [2D, 5C, 6S, TS, AC]

One pair. [3C, 4S, 5H, 5S, 8C] > One pair. [3D, 3H, 7C, 8D, AS]

One pair. [3H, 7C, TS, AS, AD] > One pair. [6C, 6H, 7D, JC, QS]

High card. [3S, 4C, 9S, QH, AC] < One pair. [4H, 5H, 5D, 9H, TS]

One pair. [5C, 6C, 7H, 7S, TD] > One pair. [2H, 2S, 5S, JD, AD]

High card. [3S, 6C, 7D, JD, KC] < One pair. [8D, 8S, TS, QS, KH]

One pair. [6C, 8S, 8D, TH, QS] < One pair. [2C, 8H, 9S, AC, AH]

High card. [7H, 8S, TD, QH, KH] < One pair. [3D, 4D, JD, AH, AS]

One pair. [2H, 2S, 3D, TS, JC] < One pair. [6C, JH, JS, QC, KH]

High card. [2D, 6H, 7S, TH, KC] > High card. [2S, 8C, 9D, TC, QS]

High card. [3C, 6S, 8H, 9D, KH] < One pair. [2C, 2H, 5D, 6D, TH]

High card. [4D, 6H, 7D, TC, AD] < One pair. [7S, 8S, 9H, TS, TD]

Three of a kind. [2H, 6D, JS, JD, JC] > High card. [3D, 6C, 8D, KH, AC]

High card. [4H, 5D, 9S, JD, KH] > High card. [3H, 4C, 5C, 7S, QS]

One pair. [3S, 3C, 4H, 5D, JD] < One pair. [4D, 7S, QH, QS, KH]

High card. [8S, TS, JD, QD, AH] > High card. [2C, 3S, 4C, 5S, 6H]

High card. [3D, 8D, JD, QS, AS] > High card. [6S, 7C, TH, QC, KS]

One pair. [2H, 7S, 7H, 8C, QC] > High card. [2D, 6D, TH, KH, AC]

One pair. [5S, 6C, 7H, 7D, KH] > High card. [3D, 5C, 7S, 8C, AH]

High card. [3C, 6C, 7D, KD, AD] < One pair. [2D, 4D, 4S, 8C, KS]

One pair. [2D, 2S, 5S, 7C, 8D] < One pair. [2C, 9D, TD, AH, AD]

High card. [3C, 4S, JH, KS, AD] > High card. [5C, 7C, 8C, 9C, TH]

High card. [4D, 7C, TD, JD, AS] > High card. [3C, 5H, 8C, 9S, QH]

One pair. [3H, 6S, 8S, 9C, 9S] > High card. [5H, JH, QD, KS, AH]

High card. [2H, 4H, 5S, 9C, QC] < High card. [7D, 8C, 9D, TD, AS]

High card. [2C, 8C, 9D, TC, KD] < One pair. [3D, 3C, 7S, QC, KH]

One pair. [4D, 4C, 5S, QS, AS] > High card. [6S, 9D, JD, QH, KS]

One pair. [4C, 5H, 6D, 6C, AH] > High card. [3D, 5S, 7D, 9H, TS]

High card. [7C, 8D, 9C, JD, QS] < One pair. [3S, 6S, 6C, KH, AC]

High card. [5D, 6D, 8H, 9S, JH] < High card. [3S, 6S, 7H, QC, AS]

High card. [2H, 5C, JH, QD, AD] < One pair. [2C, 4H, KC, AH, AS]

One pair. [2C, 2D, 6H, 9C, JH] > High card. [5D, 6D, 9H, JS, KC]

High card. [3H, 7D, 9D, TH, KD] < Two pair. [6S, 6H, QC, AS, AD]

High card. [3H, 4H, 7D, JD, KC] < One pair. [3C, 3D, TH, JS, QS]

High card. [3H, 4C, 5H, 8C, QD] < One pair. [6H, 8H, JD, AS, AD]

High card. [5D, 8S, TH, QC, KD] < One pair. [5S, 5H, 7D, TS, JS]

High card. [3H, 7D, 9D, QS, KC] < High card. [3C, 6D, 7S, TS, AH]

One pair. [4H, 7C, 7H, QC, AH] > High card. [4D, 5D, 6D, TH, AC]

High card. [2S, 3C, 4H, 8H, KD] < One pair. [5H, 6C, TC, JH, JD]

One pair. [3D, 4S, 4H, 8C, JS] > High card. [7S, TD, JH, QS, KD]

One pair. [4D, 7C, 7H, QC, KD] < One pair. [6S, TD, TC, KH, AD]

High card. [3H, 4D, 5H, 9H, KC] < One pair. [3D, 6S, 6H, QD, AD]

One pair. [6H, 7C, TH, TS, QH] > High card. [2C, 5S, 6S, TD, KC]

One pair. [4D, 5S, 7C, JD, JH] < One pair. [4H, 7D, KD, KH, AC]

One pair. [5C, 6C, 7D, 8D, 8H] < One pair. [8S, TH, JH, JD, QD]

One pair. [6C, 7D, 7C, 8D, 9D] > High card. [5C, JH, QH, KD, AS]

High card. [2C, 3C, 4C, 8C, 9S] < High card. [2D, 4H, 8D, JH, KS]

High card. [6C, 7S, 8H, JH, KH] < High card. [2D, 3H, 6D, 9D, AH]

High card. [4D, 7H, 8D, 9C, TC] < Two pair. [3C, TD, TH, KS, KD]

High card. [8D, 9H, JD, QD, AS] < Two pair. [2C, 2S, 9D, 9C, KD]

High card. [3H, 5C, 7H, 8D, KS] > High card. [2D, 5H, 8C, 9H, QH]

One pair. [2D, 6D, 6C, TH, QD] > One pair. [3H, 3S, 4C, KC, AD]

One pair. [3H, 3C, 4H, 9D, JS] < One pair. [5H, TC, JC, QH, QC]

Three of a kind. [3D, 3S, 3C, 5C, 6H] > High card. [2S, 5S, 7S, JC, QH]

One pair. [4D, 5C, 5D, 8C, AC] > One pair. [2S, 3C, 3H, 4H, QD]

High card. [2C, 9C, TD, KD, AH] < One pair. [4C, 6S, JS, QD, QC]

High card. [3S, 4H, 8C, TC, QS] < One pair. [3H, 7C, JS, JC, AD]

High card. [4D, 5H, 9C, JC, KS] < Two pair. [8S, 9S, 9H, TD, TS]

One pair. [7D, TS, QD, AS, AC] > High card. [2C, 6H, 8H, TD, AH]

High card. [4S, 6S, 8C, 9H, AD] < One pair. [3C, 8D, 8S, 9D, KH]

High card. [2D, 4D, 7S, QS, KH] < One pair. [3C, 4C, JS, JC, AD]

High card. [7H, 9S, TD, QS, KC] < One pair. [5H, TH, JS, JH, AC]

High card. [2S, 6D, 7C, QS, AC] < One pair. [5S, 6S, KS, KH, AS]

High card. [3C, 6D, 8H, QS, KH] < One pair. [2H, 5C, 6C, 9C, 9D]

High card. [2C, 4C, 6H, 7D, JS] < High card. [3H, TD, JC, QD, AC]

One pair. [4H, 4C, 8H, JD, QC] < Three of a kind. [5C, 7S, KD, KS, KC]

One pair. [2D, 2S, 3H, 6D, QD] > High card. [5S, 6S, 7H, TH, AS]

One pair. [2C, 6D, 8D, 8S, AS] > High card. [8H, TD, JC, QD, AH]

One pair. [2D, 9C, 9H, TD, QH] > High card. [2H, 3D, 5C, 8H, TC]

One pair. [2S, 3D, 8S, KC, KH] > One pair. [4D, 6S, TS, TC, JH]

One pair. [9H, 9D, QS, KC, AC] > High card. [4D, 5D, 6H, 8D, AH]

High card. [4H, 5C, 7C, 9S, QS] < High card. [2H, 7D, 8S, JS, AD]

One pair. [2C, 3D, 9S, AC, AS] > One pair. [2D, 2H, 3H, JC, KH]

High card. [7H, TC, JD, QH, KH] < One pair. [4C, 5S, 8H, 8D, KS]

One pair. [2H, 2S, 3S, 5H, 7H] > High card. [3C, 9H, QS, KD, AS]

High card. [3D, 5S, 6H, JD, AD] < One pair. [3S, 6D, 9C, 9S, AC]

High card. [2D, 3D, 5D, 9C, AC] < One pair. [2S, 4S, 6C, 6S, AD]

High card. [2D, 3H, 4C, 6S, QC] < One pair. [2H, JH, QH, QD, KC]

High card. [3C, 4D, 8S, 9S, QC] < One pair. [2H, 5C, 8H, QS, QD]

One pair. [3S, 6D, 6S, 7H, KD] > High card. [2H, 5C, 6C, JC, KH]

High card. [3S, 6S, 8H, 9S, TC] < High card. [2D, 7S, 8S, TS, AD]

One pair. [3C, 3H, 5C, 6H, 9C] < One pair. [8H, TD, JC, QH, QD]

High card. [3C, 5D, TD, JS, QD] < High card. [2C, 9H, TH, KH, AS]

